month,country_group,gender,n
2015-01-01,El Salvador,F,18
2015-01-01,El Salvador,M,36
2015-01-01,Guatemala,F,59
2015-01-01,Guatemala,M,141
2015-01-01,Honduras,F,16
2015-01-01,Honduras,M,30
2015-01-01,Mexico,F,6
2015-01-01,Mexico,M,12
2015-01-01,Other,F,7
2015-01-01,Other,M,9
2015-02-01,El Salvador,F,93
2015-02-01,El Salvador,M,161
2015-02-01,Guatemala,F,142
2015-02-01,Guatemala,M,490
2015-02-01,Honduras,F,68
2015-02-01,Honduras,M,93
2015-02-01,Mexico,F,24
2015-02-01,Mexico,M,29
2015-02-01,Other,F,17
2015-02-01,Other,M,32
2015-03-01,El Salvador,F,169
2015-03-01,El Salvador,M,326
2015-03-01,Guatemala,F,212
2015-03-01,Guatemala,M,685
2015-03-01,Honduras,F,110
2015-03-01,Honduras,M,152
2015-03-01,Mexico,F,36
2015-03-01,Mexico,M,37
2015-03-01,Other,F,13
2015-03-01,Other,M,44
2015-04-01,El Salvador,F,212
2015-04-01,El Salvador,M,368
2015-04-01,Guatemala,F,238
2015-04-01,Guatemala,M,739
2015-04-01,Honduras,F,135
2015-04-01,Honduras,M,227
2015-04-01,Mexico,F,29
2015-04-01,Mexico,M,44
2015-04-01,Other,F,11
2015-04-01,Other,M,23
2015-05-01,El Salvador,F,277
2015-05-01,El Salvador,M,484
2015-05-01,Guatemala,F,310
2015-05-01,Guatemala,M,928
2015-05-01,Honduras,F,174
2015-05-01,Honduras,M,283
2015-05-01,Mexico,F,32
2015-05-01,Mexico,M,40
2015-05-01,Other,F,14
2015-05-01,Other,M,32
2015-06-01,El Salvador,F,297
2015-06-01,El Salvador,M,545
2015-06-01,Guatemala,F,354
2015-06-01,Guatemala,M,881
2015-06-01,Honduras,F,158
2015-06-01,Honduras,M,297
2015-06-01,Mexico,F,31
2015-06-01,Mexico,M,46
2015-06-01,Other,F,11
2015-06-01,Other,M,40
2015-07-01,El Salvador,F,368
2015-07-01,El Salvador,M,618
2015-07-01,Guatemala,F,361
2015-07-01,Guatemala,M,938
2015-07-01,Honduras,F,207
2015-07-01,Honduras,M,375
2015-07-01,Mexico,F,30
2015-07-01,Mexico,M,60
2015-07-01,Other,F,15
2015-07-01,Other,M,33
2015-08-01,El Salvador,F,406
2015-08-01,El Salvador,M,642
2015-08-01,Guatemala,F,380
2015-08-01,Guatemala,M,1054
2015-08-01,Honduras,F,266
2015-08-01,Honduras,M,369
2015-08-01,Mexico,F,43
2015-08-01,Mexico,M,53
2015-08-01,Other,F,16
2015-08-01,Other,M,43
2015-09-01,El Salvador,F,555
2015-09-01,El Salvador,M,875
2015-09-01,Guatemala,F,405
2015-09-01,Guatemala,M,1178
2015-09-01,Honduras,F,295
2015-09-01,Honduras,M,481
2015-09-01,Mexico,F,58
2015-09-01,Mexico,M,75
2015-09-01,Other,F,25
2015-09-01,Other,M,58
2015-10-01,El Salvador,F,618
2015-10-01,El Salvador,M,1068
2015-10-01,Guatemala,F,440
2015-10-01,Guatemala,M,1122
