month,gender,n
2015-01-01,F,106
2015-01-01,M,228
2015-02-01,F,344
2015-02-01,M,805
2015-03-01,F,540
2015-03-01,M,1244
2015-04-01,F,625
2015-04-01,M,1401
2015-05-01,F,807
2015-05-01,M,1767
2015-06-01,F,851
2015-06-01,M,1809
2015-07-01,F,981
2015-07-01,M,2024
2015-08-01,F,1111
2015-08-01,M,2161
2015-09-01,F,1338
2015-09-01,M,2667
2015-10-01,F,1451
2015-10-01,M,2844
2015-11-01,F,1390
2015-11-01,M,2648
2015-12-01,F,2304
2015-12-01,M,4100
2016-01-01,F,1674
2016-01-01,M,3236
2016-02-01,F,1039
2016-02-01,M,2299
2016-03-01,F,959
2016-03-01,M,2232
2016-04-01,F,1058
2016-04-01,M,2228
2016-05-01,F,1426
2016-05-01,M,2703
2016-06-01,F,1452
2016-06-01,M,2798
2016-07-01,F,1429
2016-07-01,M,3011
2016-08-01,F,1642
2016-08-01,M,3318
2016-09-01,F,1687
2016-09-01,M,3400
2016-10-01,F,1991
2016-10-01,M,4048
2016-11-01,F,2267
2016-11-01,M,4369
2016-12-01,F,2716
2016-12-01,M,5027
2017-01-01,F,2084
2017-01-01,M,4487
2017-02-01,F,1437
2017-02-01,M,3078
2017-03-01,F,855
2017-03-01,M,2072
2017-04-01,F,334
2017-04-01,M,756
2017-05-01,F,341
2017-05-01,M,636
2017-06-01,F,406
2017-06-01,M,809
2017-07-01,F,409
2017-07-01,M,905
2017-08-01,F,491
2017-08-01,M,1109
2017-09-01,F,591
2017-09-01,M,1372
2017-10-01,F,608
2017-10-01,M,1622
2017-11-01,F,672
2017-11-01,M,1569
2017-12-01,F,952
2017-12-01,M,2235
2018-01-01,F,820
2018-01-01,M,1887
2018-02-01,F,800
2018-02-01,M,2120
2018-03-01,F,866
2018-03-01,M,2209
2018-04-01,F,981
2018-04-01,M,2498
2018-05-01,F,1070
2018-05-01,M,2850
2018-06-01,F,1064
2018-06-01,M,2798
2018-07-01,F,768
2018-07-01,M,1777
2018-08-01,F,607
2018-08-01,M,1580
2018-09-01,F,832
2018-09-01,M,1887
2018-10-01,F,1042
2018-10-01,M,2432
2018-11-01,F,1059
2018-11-01,M,2351
2018-12-01,F,1986
2018-12-01,M,4044
2019-01-01,F,1671
2019-01-01,M,3930
2019-02-01,F,1676
2019-02-01,M,3618
2019-03-01,F,2191
2019-03-01,M,4718
2019-04-01,F,2599
2019-04-01,M,5170
2019-05-01,F,2757
2019-05-01,M,5366
2019-06-01,F,2846
2019-06-01,M,5903
2019-07-01,F,2937
2019-07-01,M,5549
2019-08-01,F,2016
2019-08-01,M,3648
2019-09-01,F,1300
2019-09-01,M,2241
2019-10-01,F,971
2019-10-01,M,1831
2019-11-01,F,774
2019-11-01,M,1568
2019-12-01,F,793
2019-12-01,M,1690
2020-01-01,F,671
2020-01-01,M,1444
2020-02-01,F,668
2020-02-01,M,1465
2020-03-01,F,660
2020-03-01,M,1488
2020-04-01,F,381
2020-04-01,M,923
2020-05-01,F,167
2020-05-01,M,355
2020-06-01,F,80
2020-06-01,M,161
2020-07-01,F,58
2020-07-01,M,114
2020-08-01,F,83
2020-08-01,M,102
2020-09-01,F,150
2020-09-01,M,268
2020-10-01,F,362
2020-10-01,M,700
2020-11-01,F,398
2020-11-01,M,828
2020-12-01,F,782
2020-12-01,M,1517
2021-01-01,F,807
2021-01-01,M,1829
2021-02-01,F,1082
2021-02-01,M,2321
2021-03-01,F,2082
2021-03-01,M,4483
2021-04-01,F,3385
2021-04-01,M,6932
2021-05-01,F,5783
2021-05-01,M,11180
2021-06-01,F,4752
2021-06-01,M,10153
2021-07-01,F,5313
2021-07-01,M,10644
2021-08-01,F,6155
2021-08-01,M,11152
2021-09-01,F,5560
2021-09-01,M,10151
2021-10-01,F,4153
2021-10-01,M,7911
2021-11-01,F,3560
2021-11-01,M,6455
2021-12-01,F,4764
2021-12-01,M,8294
2022-01-01,F,2691
2022-01-01,M,4861
2022-02-01,F,3188
2022-02-01,M,5335
2022-03-01,F,3700
2022-03-01,M,6866
2022-04-01,F,3883
2022-04-01,M,7532
2022-05-01,F,3660
2022-05-01,M,6615
2022-06-01,F,4307
2022-06-01,M,7322
2022-07-01,F,4607
2022-07-01,M,8614
2022-08-01,F,3904
2022-08-01,M,6872
2022-09-01,F,3370
2022-09-01,M,5634
2022-10-01,F,3662
2022-10-01,M,6159
2022-11-01,F,3732
2022-11-01,M,6189
2022-12-01,F,4773
2022-12-01,M,7290
2023-01-01,F,3447
2023-01-01,M,5455
2023-02-01,F,3194
2023-02-01,M,5290
2023-03-01,F,3575
2023-03-01,M,5964
2023-04-01,F,3296
2023-04-01,M,5675
2023-05-01,F,3205
2023-05-01,M,5253
