country_group,sponsor_cat,n,pct
El Salvador,1,49258,0.5131308922339706
El Salvador,2,38692,0.40306265951351633
El Salvador,3,7945,0.08276472732954841
El Salvador,NA,100,0.0010417209229647377
Guatemala,1,83619,0.32885779345658767
Guatemala,2,137271,0.5398610144294866
Guatemala,3,32984,0.12971986581245992
Guatemala,NA,397,0.001561326301465759
Honduras,1,71818,0.47023466554921167
Honduras,2,65027,0.4257699963333508
Honduras,3,15789,0.10337986485778639
Honduras,NA,94,6.154732596511445e-4
Mexico,1,8910,0.5956280500033425
Mexico,2,4954,0.33117186977739155
Mexico,3,1080,0.07219733939434454
Mexico,NA,15,0.001002740824921452
Other,1,17212,0.486640843676666
Other,2,12221,0.34552857021685657
Other,3,5886,0.16641691877067488
Other,NA,50,0.001413667335802539
