year_entry,sponsor_cat,n,pct
2015,1,23088,0.5477839992407706
2015,2,14893,0.3533500996488564
2015,3,3693,0.08761981588687483
2015,NA,474,0.01124608522349815
2016,1,32659,0.5328949515386875
2016,2,23301,0.38020102470384753
2016,3,5279,0.08613712756583886
2016,NA,47,0.00076689619162614625
2017,1,11040,0.4225028702640643
2017,2,12043,0.4608878683505549
2017,3,2994,0.11458094144661309
2017,NA,53,0.0020283199387677
2018,1,19468,0.4298995252291046
2018,2,21320,0.4707960693386331
2018,3,4423,0.09767031025725958
2018,NA,74,0.0016340951750027602
2019,1,26377,0.4428122953984589
2019,2,27556,0.4626051337149764
2019,3,5626,0.09444826833649504
2019,NA,8,1.3430255006966944e-4
2020,1,5936,0.41589014222658166
2020,2,6643,0.46542422756253066
2020,3,1694,0.1186856302108877
2021,1,53973,0.3723174559376401
2021,2,72354,0.4991135791397924
2021,3,18638,0.12856896492256753
2022,1,44078,0.35589539042882173
2022,2,62434,0.5041057399617282
2022,3,17339,0.13999886960945007
2023,1,14198,0.39640394226205433
2023,2,17621,0.4919730854063713
2023,3,3998,0.1116229723315744
