sponsor_zip,total,lat,lng,major_city,state
00612,1,18.4,-66.68,Arecibo,PR
00915,3,18.43,-66.04,San Juan,PR
00925,5,18.401,-66.05,San Juan,PR
00952,1,18.43,-66.19,Sabana Seca,PR
00987,1,18.36,-65.97,Carolina,PR
01001,3,42.07,-72.63,Agawam,MA
01002,31,42.38,-72.52,Amherst,MA
01013,6,42.16,-72.6,Chicopee,MA
01020,5,42.18,-72.56,Chicopee,MA
01027,9,42.3,-72.7,Easthampton,MA
01034,1,42.1,-73,Granville,MA
01035,2,42.36,-72.59,Hadley,MA
01040,4,42.22,-72.64,Holyoke,MA
01056,1,42.19,-72.46,Ludlow,MA
01060,5,42.33,-72.63,Northampton,MA
01062,7,42.33,-72.69,Florence,MA
01069,2,42.19,-72.31,Palmer,MA
01075,1,42.26,-72.58,South Hadley,MA
01080,1,42.18,-72.37,Three Rivers,MA
01082,1,42.3,-72.3,Ware,MA
01085,1,42.2,-72.8,Westfield,MA
01089,5,42.12,-72.64,West Springfield,MA
01104,133,42.13,-72.57,Springfield,MA
01105,24,42.1,-72.58,Springfield,MA
01107,163,42.12,-72.6,Springfield,MA
01108,102,42.08,-72.56,Springfield,MA
01109,48,42.12,-72.55,Springfield,MA
01118,1,42.1,-72.52,Springfield,MA
01119,3,42.12,-72.51,Springfield,MA
01129,1,42.12,-72.49,Springfield,MA
01151,6,42.15,-72.51,Indian Orchard,MA
01201,27,42.5,-73.3,Pittsfield,MA
01220,2,42.63,-73.13,Adams,MA
01225,1,42.56,-73.15,Cheshire,MA
01230,32,42.2,-73.3,Great Barrington,MA
01238,2,42.3,-73.22,Lee,MA
01242,1,42.37,-73.27,Lenox Dale,MA
01247,1,42.7,-73.1,North Adams,MA
01257,4,42.1,-73.37,Sheffield,MA
01260,1,42.3,-73.2,South Lee,MA
01262,1,42.29,-73.31,Stockbridge,MA
01267,1,42.6,-73.3,Williamstown,MA
01301,7,42.63,-72.59,Greenfield,MA
01364,1,42.6,-72.3,Orange,MA
01375,2,42.47,-72.55,Sunderland,MA
01376,5,42.59,-72.54,Turners Falls,MA
01420,18,42.59,-71.81,Fitchburg,MA
01430,1,42.65,-71.92,Ashburnham,MA
01432,1,42.56,-71.57,Ayer,MA
01440,3,42.59,-71.99,Gardner,MA
01453,51,42.52,-71.77,Leominster,MA
01464,2,42.58,-71.64,Shirley,MA
01501,1,42.2,-71.85,Auburn,MA
01504,4,42.04,-71.53,Blackstone,MA
01510,33,42.41,-71.69,Clinton,MA
01519,1,42.2,-71.68,Grafton,MA
01523,3,42.47,-71.67,Lancaster,MA
01524,1,42.24,-71.92,Leicester,MA
01527,2,42.19,-71.78,Millbury,MA
01532,4,42.32,-71.63,Northborough,MA
01534,2,42.14,-71.64,Northbridge,MA
01537,1,42.17,-71.89,North Oxford,MA
01545,10,42.29,-71.71,Shrewsbury,MA
01550,1,42.07,-72.04,Southbridge,MA
01560,2,42.18,-71.68,South Grafton,MA
01562,2,42.25,-71.99,Spencer,MA
01564,1,42.44,-71.78,Sterling,MA
01566,2,42.1,-72.08,Sturbridge,MA
01568,2,42.18,-71.6,Upton,MA
01569,4,42.06,-71.64,Uxbridge,MA
01570,5,42.06,-71.85,Webster,MA
01571,1,42.06,-71.94,Dudley,MA
01581,48,42.27,-71.61,Westborough,MA
01583,1,42.36,-71.78,West Boylston,MA
01588,2,42.13,-71.66,Whitinsville,MA
01602,18,42.27,-71.85,Worcester,MA
01603,54,42.25,-71.84,Worcester,MA
01604,79,42.25,-71.76,Worcester,MA
01605,27,42.29,-71.8,Worcester,MA
01606,5,42.31,-71.8,Worcester,MA
01607,10,42.23,-71.79,Worcester,MA
01608,11,42.26,-71.8,Worcester,MA
01609,32,42.28,-71.83,Worcester,MA
01610,154,42.25,-71.81,Worcester,MA
01611,2,42.25,-71.88,Cherry Valley,MA
01701,41,42.32,-71.43,Framingham,MA
01702,361,42.28,-71.44,Framingham,MA
01720,5,42.49,-71.44,Acton,MA
01721,10,42.26,-71.47,Ashland,MA
01730,1,42.5,-71.28,Bedford,MA
01740,6,42.44,-71.6,Bolton,MA
01742,1,42.46,-71.36,Concord,MA
01745,1,42.292,-71.5,Fayville,MA
01746,3,42.2,-71.44,Holliston,MA
01747,11,42.13,-71.54,Hopedale,MA
01748,2,42.23,-71.53,Hopkinton,MA
01749,17,42.39,-71.54,Hudson,MA
01752,222,42.35,-71.55,Marlborough,MA
01754,6,42.43,-71.45,Maynard,MA
01756,4,42.1,-71.54,Mendon,MA
01757,198,42.15,-71.52,Milford,MA
01760,11,42.28,-71.35,Natick,MA
01773,1,42.43,-71.32,Lincoln,MA
01776,1,42.39,-71.42,Sudbury,MA
01801,81,42.49,-71.16,Woburn,MA
01803,59,42.51,-71.2,Burlington,MA
01821,18,42.55,-71.26,Billerica,MA
01824,3,42.59,-71.35,Chelmsford,MA
01826,1,42.69,-71.31,Dracut,MA
01830,17,42.8,-71.06,Haverhill,MA
01832,22,42.79,-71.13,Haverhill,MA
01835,1,42.75,-71.09,Haverhill,MA
01840,17,42.71,-71.16,Lawrence,MA
01841,436,42.71,-71.16,Lawrence,MA
01843,82,42.69,-71.16,Lawrence,MA
01844,61,42.73,-71.19,Methuen,MA
01845,1,42.67,-71.08,North Andover,MA
01850,33,42.66,-71.3,Lowell,MA
01851,42,42.62,-71.34,Lowell,MA
01852,68,42.63,-71.3,Lowell,MA
01854,23,42.65,-71.35,Lowell,MA
01862,2,42.57,-71.29,North Billerica,MA
01867,2,42.53,-71.1,Reading,MA
01876,3,42.61,-71.23,Tewksbury,MA
01880,20,42.5,-71.07,Wakefield,MA
01887,2,42.57,-71.17,Wilmington,MA
01890,6,42.45,-71.15,Winchester,MA
01901,8,42.462,-70.946,Lynn,MA
01902,1432,42.47,-70.94,Lynn,MA
01904,233,42.49,-70.97,Lynn,MA
01905,693,42.47,-70.97,Lynn,MA
01906,33,42.47,-71.01,Saugus,MA
01907,7,42.48,-70.91,Swampscott,MA
01913,2,42.85,-70.95,Amesbury,MA
01915,23,42.57,-70.86,Beverly,MA
01923,4,42.58,-70.96,Danvers,MA
01929,1,42.64,-70.78,Essex,MA
01930,82,42.63,-70.69,Gloucester,MA
01938,5,42.7,-70.8,Ipswich,MA
01949,4,42.6,-71.01,Middleton,MA
01960,29,42.53,-70.97,Peabody,MA
01970,30,42.52,-70.91,Salem,MA
02019,8,42.08,-71.47,Bellingham,MA
02026,8,42.25,-71.18,Dedham,MA
02032,2,42.15,-71.22,East Walpole,MA
02038,7,42.09,-71.41,Franklin,MA
02050,4,42.1,-70.7,Marshfield,MA
02052,1,42.18,-71.31,Medfield,MA
02053,5,42.16,-71.43,Medway,MA
02062,57,42.18,-71.2,Norwood,MA
02067,1,42.11,-71.19,Sharon,MA
02072,10,42.12,-71.1,Stoughton,MA
02081,1,42.15,-71.26,Walpole,MA
02090,1,42.22,-71.2,Westwood,MA
02108,2,42.358,-71.064,Boston,MA
02111,1,42.351,-71.061,Boston,MA
02114,2,42.363,-71.066,Boston,MA
02116,1,42.35,-71.08,Boston,MA
02119,27,42.32,-71.08,Roxbury,MA
02120,2,42.33,-71.1,Roxbury Crossing,MA
02121,67,42.31,-71.08,Dorchester,MA
02122,169,42.29,-71.05,Dorchester,MA
02124,76,42.29,-71.07,Dorchester Center,MA
02125,81,42.32,-71,Dorchester,MA
02126,13,42.28,-71.09,Mattapan,MA
02127,5,42.33,-71.04,Boston,MA
02128,862,42.37,-71.02,Boston,MA
02129,7,42.38,-71.06,Charlestown,MA
02130,21,42.31,-71.12,Jamaica Plain,MA
02131,46,42.28,-71.12,Roslindale,MA
02132,6,42.28,-71.16,West Roxbury,MA
02134,302,42.36,-71.13,Allston,MA
02135,149,42.35,-71.15,Brighton,MA
02136,19,42.25,-71.13,Hyde Park,MA
02138,2,42.38,-71.13,Cambridge,MA
02139,6,42.36,-71.1,Cambridge,MA
02140,1,42.39,-71.13,Cambridge,MA
02141,12,42.37,-71.08,Cambridge,MA
02143,37,42.38,-71.1,Somerville,MA
02144,4,42.4,-71.12,Somerville,MA
02145,194,42.39,-71.09,Somerville,MA
02148,91,42.43,-71.05,Malden,MA
02149,475,42.41,-71.05,Everett,MA
02150,1086,42.4,-71.03,Chelsea,MA
02151,424,42.42,-71,Revere,MA
02152,15,42.37,-70.97,Winthrop,MA
02155,47,42.42,-71.11,Medford,MA
02169,38,42.24,-71.01,Quincy,MA
02170,8,42.27,-71.02,Quincy,MA
02171,6,42.29,-71.01,Quincy,MA
02176,2,42.46,-71.06,Melrose,MA
02180,17,42.47,-71.1,Stoneham,MA
02184,5,42.2,-71.01,Braintree,MA
02186,1,42.24,-71.08,Milton,MA
02188,4,42.21,-70.96,Weymouth,MA
02189,6,42.21,-70.93,East Weymouth,MA
02190,9,42.17,-70.95,South Weymouth,MA
02301,197,42.08,-71.04,Brockton,MA
02302,47,42.09,-71,Brockton,MA
02322,2,42.13,-71.05,Avon,MA
02324,3,41.97,-70.98,Bridgewater,MA
02333,1,42.03,-70.94,East Bridgewater,MA
02343,4,42.14,-71.01,Holbrook,MA
02351,8,42.12,-70.96,Abington,MA
02360,8,41.9,-70.6,Plymouth,MA
02364,1,41.98,-70.75,Kingston,MA
02368,24,42.17,-71.06,Randolph,MA
02370,6,42.13,-70.91,Rockland,MA
02375,4,42.02,-71.11,South Easton,MA
02382,2,42.08,-70.94,Whitman,MA
